reponse.csv,,
ID,Phrase,Audio
1,"Quand l'éléphant trébuche, ce sont les fourmis qui en pâtissent.",0001.wav
2,Le coassement des grenouilles n'empêche pas l'éléphant de boire.,0002.wav
3,L'oiseau qui chante ne sait pas faire son nid.,0003.wav
4,Qui veut du miel doit avoir le courage d'affronter les abeilles.,0004.wav
5,Le coq qui chante si fièrement aujourd'hui ne doit pas oublier qu'il vient d'un œuf.,0005.wav
6,Qui flatte le crocodile peut se baigner tranquille.,0006.wav
7,Il faut attendre d'avoir traversé toute la rivière avant de dire que le crocodile a une sale gueule.,0007.wav
8,Quand les éléphants se battent c'est toujours l'herbe qui est écrasée...,0008.wav
9,On peut avoir sa jambe dans la gueule du caïman et continuer à pêcher. Il faut continuer de tenter sa chance...,0009.wav
10,"Tout a une fin, sauf la banane qui en a deux.",0010.wav
11,Que celui qui n'a pas fini de traverser la rivière ne se moque pas de celui qui est en train de s'y noyer.,0011.wav
12,"Sarcle tous tes plants de sorgho, tu ne sais pas lequel portera fruits et lequel restera stérile.",0012.wav
13,Un seul morceau de bois donne de la fumée mais pas de feu.,0013.wav
14,"Si de ta poitrine tu affrontes le monde, c'est ta poitrine qui s’enfonce.",0014.wav
15,La faim ne tue pas. C'est le désespoir qui tue.,0015.wav
16,"Qui n'a pas été tué par dix bouches, ne peut l'être par onze.",0016.wav
17,"On n'a rien sans peine. L'écorce du caïlcédrat est amère, mais elle guérit.",0017.wav
18,On peut trébucher sur une pierre et être capable de gravir une montagne. Les échecs de la vie nous ragaillardissent.,0018.wav
19,"L’être humain est comme le poivre, tu ne le connais pas avant de l'avoir mâché.",0019.wav
20,"Pour qu'un enfant grandisse, il faut tout un village.",0020.wav
21,Ne te lasse pas de crier ta joie d'être en vie et tu n'entendras plus d'autres cris.,0021.wav
22,"Si tu as l'amour des gens, les gens auront de l'amour pour toi.",0022.wav
23,Qui veut un ami sans défaut reste sans ami.,0023.wav
24,Qui domine les autres est fort. Qui se domine est puissant.,0024.wav
25,"Considérer comme identiques les différences, voilà la grandeur.",0025.wav
26,Celui qui excelle à employer les êtres humains se met au-dessous d’eux.,0026.wav
27,"Être humain, c’est aimer ses congénères. Être sage, c’est les connaître.",0027.wav
28,"Il n’y a point de chemin vers le bonheur. Le bonheur, c’est le chemin.",0028.wav
29,"Le sage se consacre à sauver les êtres humains, sans rejeter personne.",0029.wav
30,Une personne remarquable sait que ses ennemis sont les ombres de ce qu’elle rejette.,0030.wav
31,"L’humain n’est pas fait pour construire des murs, mais pour construire des ponts.",0031.wav
32,Connaitre les autres est un signe d’intelligence. Se connaitre démontre la sagesse.,0032.wav
33,"Si quelqu’un t’a offensé, ne cherche pas à te venger. Assieds-toi au bord de la rivière, et bientôt tu verras passer son cadavre.",0033.wav
34,"Celui qui croit en lui-même n’a pas besoin de convaincre les autres. Celui qui est heureux avec lui-même n’a pas besoin de l’approbation des autres. Celui qui s’accepte lui-même, le monde entier l’acceptera.",0034.wav
35,Votre ennemi est votre meilleur professeur.,0035.wav
36,Celui qui s’enferme dans ses idées trouve rarement avec qui s’entendre.,0036.wav
37,Les gens de bien n’exigent pas de l’autre qu’il soit parfait. Ils l’aident à accomplir ce qu’il a en lui de meilleur.,0037.wav
38,"Être bon à l’égard des bons et bon aussi envers ceux qui ne le sont pas, c’est posséder la bonté même.",0038.wav
39,N'ayez d'intolérance que vis-à-vis de l'intolérance.,0039.wav
40,Le propre des imbéciles est de détester tout ce qu'ils ignorent.,0040.wav
41,"Un ami, c'est quelqu'un qui vous connaît bien et qui vous aime quand même.",0041.wav
42,"Devant l'obstacle, la fourmi ne se pose pas la question « Pourquoi ça m'arrive à moi et à cause de qui ? » mais : « Comment je vais me sortir de cette situation et avec l'aide de qui ? »",0042.wav
43,"Remerciez vos ennemis, ils sont vos plus grands maîtres. Ils vous apprennent à faire face à la souffrance, et à développer la patience, la tolérance, la compassion, sans rien attendre en retour.",0043.wav
44,Nul ne peut nous faire sentir inférieur sans notre propre consentement.,0044.wav
45,"Nous devons apprendre à vivre ensemble comme des frères, sinon nous allons mourir tous ensembles comme des idiots.",0045.wav
46,"Nulle pierre ne peut être polie sans friction, nul ne peut se parfaire sans épreuves.",0046.wav
47,"Le plus grand secret du bonheur, c'est d'être bien avec soi.",0047.wav
48,"Celui qui se cherche des limites, en trouve sans limite.",0048.wav
49,"Vis ta vie, pas celle des autres.",0049.wav
50,"L’amour, la famille et l’amitié sont les plus belles choses que nous pouvons désirer.",0050.wav
51,"Le verbe aimer est difficile à conjuguer ; son passé n'est pas simple, son présent n'est qu'indicatif et son futur est toujours conditionnel.",0051.wav
52,Le bonheur est quelque chose qui se multiplie quand il se divise.,0052.wav
53,Chaque parcelle conquise par l’amour est perdue par la haine.,0053.wav
54,L'amour est un jardin. N'y entre pas si tu ne peux pas sentir son parfum.,0054.wav
55,L'amour devient famille ; le feu devient foyer.,0055.wav
56,L'avantage avec les animaux c'est qu'ils t'aiment sans poser de question.,0056.wav
57,"Si tu accouches d'un serpent, tu en fais une ceinture.",0057.wav
58,"Ce n’est pas tant l’intervention de nos amis qui nous aide, mais le fait de savoir que nous pourrons toujours compter sur eux.",0058.wav
59,"Loin des yeux, loin du cœur.",0059.wav
60,"Où la souris se moque du chat, il y a un trou.",0060.wav
